esure Group names boss of Australia’s biggest global insurer as its chief executive officer,https://www.proactiveinvestors.co.uk/companies/news/220484/esure-group-names-boss-of-australias-biggest-global-insurer-as-its-chief-executive-officer-220484.html,2019-05-17 07:39:00,"The former London-listed firm, which was snapped up by Bain for £1.21bn last August, said David McMillan is expected to join the company in August 2019"
KR1 generating “significant revenues” from investment in ‘proof-of-stake’ Cosmos Network,https://www.proactiveinvestors.co.uk/companies/news/220197/kr1-generating-significant-revenues-from-investment-in-proof-of-stake-cosmos-network-220197.html,2019-05-14 08:24:00,"Proof-of-stake networks are blockchain systems which, unlike proof-of-work networks like Bitcoin, do not require massive amounts of computing power to maintain them"
Sweet dreams are made of this…Hipgnosis snaps up rights to Eurythmics’ songs,https://www.proactiveinvestors.co.uk/companies/news/220045/sweet-dreams-are-made-of-thishipgnosis-snaps-up-rights-to-eurythmics-songs-220045.html,2019-05-10 09:20:00,"Hipgnosis will now receive David A Stewart’s cut of the royalties from tracks such as Sweet Dreams (Are Made of This) and more than 1,000 other songs he has helped write or produce"
Why the next Bitcoin rally could be closer than you think,https://www.proactiveinvestors.co.uk/companies/news/219802/why-the-next-bitcoin-rally-could-be-closer-than-you-think-219802.html,2019-05-07 13:34:00,An upcoming event called 'halving' could see another bull run for the world's original cryptocurrency
KR1 nets over US$200k from sale of OmiseGo holdings in one of its “most successful investments to date”,https://www.proactiveinvestors.co.uk/companies/news/219078/kr1-nets-over-us200k-from-sale-of-omisego-holdings-in-one-of-its-most-successful-investments-to-date-219078.html,2019-04-25 08:12:00,"The digital asset investment firm said it had sold its remaining tokens in OmiseGo at an average price of US$2 each, a 650% increase on the original purchase price of US$0.27"
Kingswood Holdings expects 'sustained earnings growth' after major overhaul,https://www.proactiveinvestors.co.uk/companies/news/219054/kingswood-holdings-expects--sustained-earnings-growth--after-major-overhaul-219054.html,2019-04-24 07:21:00,Kingswood has a new management team in place to implement the group’s three-year growth strategy.
Hipgnosis snaps up music catalogue from chart-topping songwriter Starrah,https://www.proactiveinvestors.co.uk/companies/news/218933/hipgnosis-snaps-up-music-catalogue-from-chart-topping-songwriter-starrah-218933.html,2019-04-23 08:00:00,"Hipgnosis will now receive royalties from hit songs such as Rihanna’s ‘Needed Me’, Drake’s ‘Fake Love’ and Nicki Minaj’s ‘No Frauds’"
Plus 500 hammered again as client-wins and subdued markets send revenues tumbling,https://www.proactiveinvestors.co.uk/companies/news/218490/plus-500-hammered-again-as-client-wins-and-subdued-markets-send-revenues-tumbling-218490.html,2019-04-12 09:10:00,Revenue was hit by clients winning US$28.1mln on their trading
Hipgnosis Songs issues shares at modest discount,https://www.proactiveinvestors.co.uk/companies/news/218488/hipgnosis-songs-issues-shares-at-modest-discount-218488.html,2019-04-12 08:53:00,"The fund's investment adviser had identified a number of further significant catalogues for potential acquisition and the company has indicated that an equity issue was on the cards, so this share issue should not come as a surprise"
"After Bitcoin’s bounce, here’s how you could take a punt on crypto with your ISA",https://www.proactiveinvestors.co.uk/companies/news/217979/after-bitcoins-bounce-heres-how-you-could-take-a-punt-on-crypto-with-your-isa-217979.html,2019-04-04 14:28:00,"With the original cryptocurrency breaking US$5,000 for the first time in five months, some are saying the sector could be heading for an upswing in investor interest"
Brainworks eyes swing into profit as it exits financial services,https://www.proactiveinvestors.co.uk/companies/news/217759/brainworks-eyes-swing-into-profit-as-it-exits-financial-services-217759.html,2019-04-02 11:01:00,Directors have 'a reasonable degree of certainty' that positive basic earnings per share will be achieved in 2018
Future Consumer’s Quest for Value continues,https://mnacritique.mergersindia.com/future-consumers-quest-for-value-continues/,2019-12-10 04:00:00,Future Group
Attempt to remain relevant by merging BSNL and MTNL,https://mnacritique.mergersindia.com/mtnl-bsnl-merger-telecom/,2019-12-04 04:00:13,"In what seems to be last attempt, government has finally decided to revive by merging the two loss-making state-owned telecom companies "
Mangalam Timber merges with Mangalam Cement,https://mnacritique.mergersindia.com/mangalam-cement-timber-merger/,2019-11-11 04:00:21,The BK Birla group-controlled 
Hinduja Group restructures media & communications business,https://mnacritique.mergersindia.com/hinduja-venture-indusind-media-communications-demerger/,2019-11-09 04:00:08,The 
RBI rejects proposed Lakshmi Vilas Bank-Indiabulls Housing Finance merger,https://mnacritique.mergersindia.com/indiabulls-lvb-merger-rejected/,2019-10-17 04:00:50,"After a lot of scrutiny, Reserve Bank of India (RBI) finally rejected the proposed merger between Chennai-based "
Titagarh Wagons Ltd moves ahead with consolidation of three entities,https://mnacritique.mergersindia.com/titagarh-wagons-consolidation/,2019-10-16 04:00:09,TITAGARH Group
Phoenix Mills Limited merges its subsidiary company,https://mnacritique.mergersindia.com/phoenix-mills-wos-merger/,2019-10-14 04:00:10,The 
Dus ka Char: Government to merge 10 PSU banks into four,https://mnacritique.mergersindia.com/government-psu-banks-merger-10-4/,2019-10-11 04:00:52,"In order to create large-size state-owned banks, the government has decided to "
NCLT approves Dalmia Cement’s plan to revive Murli Industries,https://mnacritique.mergersindia.com/dalmia-cement-murli-industrie-insolvency/,2019-08-12 04:00:53,"After a long-drawn case, the "
Ebix acquires Yatra to consolidate its position,https://mnacritique.mergersindia.com/ebix-yatra-acquisition-consolidation/,2019-08-07 04:00:48,US software firm 
SteelPath January MLP update and news,https://www.blog.invesco.us.com/steelpath-january-mlp-update-and-news/,2020-01-15 14:29:29,"The master limited partnership (MLP) sector saw a series of acquisitions take place in December, from Blackstone reaching an agreement with Tallgrass Energy to Energy Transfer closing on the SemGroup […]"
What could the US-Iran conflict mean for investors?,https://www.blog.invesco.us.com/what-could-the-us-iran-conflict-mean-for-investors/,2020-01-14 15:54:06,"After the US killing of Qassim Suleimani on Jan. 3 and Iran’s retaliatory, non-lethal missile strike against two US military facilities in Iraq on Jan. 7, the situation appears to […]"
The Future of E-Commerce and Retail Will Be Written in China,https://www.blog.invesco.us.com/the-future-of-e-commerce-and-retail-will-be-written-in-china/,2020-01-07 14:37:36,We believe China is ground zero for the future of retail and the West will learn from and adapt the experiments that are already moving to scale in the East. […]
Five issues for investors to watch in January,https://www.blog.invesco.us.com/five-issues-for-investors-to-watch-in-january/,2020-01-06 19:37:16,"2019 was a great year for markets, and equities delivered strong returns for the year. US stocks led the way at 29.07%, Chinese stocks returned 20.94%, European stocks returned 20.03%, […]"
What does Qassim Suleimani’s death mean for the market?,https://www.blog.invesco.us.com/what-does-qassim-suleimanis-death-mean-for-the-market/,2020-01-03 21:17:08,"On Thursday evening, Iran’s top security and intelligence commander, General Qassim Suleimani, was killed in a drone strike at Baghdad International Airport. The strike, which was authorized by US President […]"
Past presidential turmoil didn’t keep stocks down for long,https://www.blog.invesco.us.com/past-presidential-turmoil-didnt-keep-stocks-down-for-long-2/,2019-12-19 16:00:15,"On Dec. 18, 2019, President Donald Trump was impeached by the House of Representatives on two counts, becoming the third US president to be impeached in the history of the […]"
The Fed is well-equipped to handle year-end repo volatility,https://www.blog.invesco.us.com/the-fed-is-well-equipped-to-handle-year-end-repo-volatility/,2019-12-18 21:23:16,"Invesco Fixed Income believes the Federal Reserve (Fed) will add sufficient liquidity to the banking system to alleviate rate pressure in the funding/repo markets that typically arises at year-end, and […]"
Is globalization over?,https://www.blog.invesco.us.com/is-globalization-over/,2019-12-18 16:11:32,"Globalization means many things–migration, the exchange of ideas and culture, and trade and cross-border capital flows, to name a few. Increased trade tensions, especially between the US and China, have […]"
Ride hailing in emerging markets is more than transport,https://www.blog.invesco.us.com/ride-hailing-in-emerging-markets-is-more-than-transport/,2019-12-17 15:57:08,"When Apple introduced the iPhone in 2007, only the most prescient of market observers would have prophesied that the smartphone would lead to a coming upheaval of urban transport. Just […]"
A holiday gift for markets: Increased economic policy certainty,https://www.blog.invesco.us.com/a-holiday-gift-for-markets-increased-economic-policy-certainty/,2019-12-16 20:48:24,Two developments last week suggest that we have entered a period of improved economic policy certainty. Both the UK election and the US-China Phase 1 trade deal promise to bring […]
